FlightDate,Airline,Origin,Dest,Cancelled,Diverted,CRSDepTime,DepTime,DepDelayMinutes,DepDelay,ArrTime,ArrDelayMinutes,AirTime,CRSElapsedTime,ActualElapsedTime,Distance,Year,Quarter,Month,DayofMonth,DayOfWeek,Marketing_Airline_Network,Operated_or_Branded_Code_Share_Partners,DOT_ID_Marketing_Airline,IATA_Code_Marketing_Airline,Flight_Number_Marketing_Airline,Operating_Airline,DOT_ID_Operating_Airline,IATA_Code_Operating_Airline,Tail_Number,Flight_Number_Operating_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,DestCityName,DestState,DestStateFips,DestStateName,DestWac,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrDelay,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,DistanceGroup,DivAirportLandings
2022-02-27,JetBlue Airways,SAN,JFK,false,false,2033,2033.0,0.0,0.0,438.0,0.0,268.0,307.0,305.0,2446.0,2022,1,2,27,7,B6,B6,20409,B6,90,B6,20409,B6,N983JT,90,14679,1467903,33570,"San Diego, CA",CA,6,California,91,12478,1247805,31703,"New York, NY",NY,36,New York,22,0.0,0.0,2000-2059,27.0,2100.0,428.0,10.0,440,-2.0,0.0,-1.0,0001-0559,10,0.0
2022-02-27,Delta Air Lines Inc.,GEG,ATL,false,false,1230,1227.0,0.0,-3.0,1930.0,0.0,225.0,252.0,243.0,1969.0,2022,1,2,27,7,DL,DL,19790,DL,921,DL,19790,DL,N866DN,921,11884,1188402,31884,"Spokane, WA",WA,53,Washington,93,10397,1039707,30397,"Atlanta, GA",GA,13,Georgia,34,0.0,-1.0,1200-1259,10.0,1237.0,1922.0,8.0,1942,-12.0,0.0,-1.0,1900-1959,8,0.0
2022-02-13,Hawaiian Airlines Inc.,SMF,HNL,false,false,720,721.0,1.0,1.0,1043.0,0.0,304.0,335.0,322.0,2462.0,2022,1,2,13,7,HA,HA,19690,HA,19,HA,19690,HA,N380HA,19,14893,1489302,33192,"Sacramento, CA",CA,6,California,91,12173,1217305,32134,"Honolulu, HI",HI,15,Hawaii,2,0.0,0.0,0700-0759,13.0,734.0,1038.0,5.0,1055,-12.0,0.0,-1.0,1000-1059,10,0.0
2022-02-28,Comair Inc.,DCA,CHS,false,false,759,752.0,0.0,-7.0,946.0,0.0,72.0,113.0,114.0,444.0,2022,1,2,28,1,AA,AA_CODESHARE,19805,AA,5135,OH,20397,OH,N569NN,5135,11278,1127805,30852,"Washington, DC",VA,51,Virginia,38,10994,1099402,30994,"Charleston, SC",SC,45,South Carolina,37,0.0,-1.0,0700-0759,36.0,828.0,940.0,6.0,952,-6.0,0.0,-1.0,0900-0959,2,0.0
2022-02-12,Mesa Airlines Inc.,IAD,ATL,false,false,1030,1029.0,0.0,-1.0,1213.0,0.0,87.0,124.0,104.0,534.0,2022,1,2,12,6,UA,UA_CODESHARE,19977,UA,6072,YV,20378,YV,N85323,6072,12264,1226402,30852,"Washington, DC",VA,51,Virginia,38,10397,1039707,30397,"Atlanta, GA",GA,13,Georgia,34,0.0,-1.0,1000-1059,13.0,1042.0,1209.0,4.0,1234,-21.0,0.0,-2.0,1200-1259,3,0.0
2022-02-05,Republic Airlines,ORD,DCA,false,false,1600,1558.0,0.0,-2.0,1841.0,0.0,84.0,125.0,103.0,612.0,2022,1,2,5,6,UA,UA_CODESHARE,19977,UA,3615,YX,20452,YX,N639RW,3615,13930,1393007,30977,"Chicago, IL",IL,17,Illinois,41,11278,1127805,30852,"Washington, DC",VA,51,Virginia,38,0.0,-1.0,1600-1659,15.0,1613.0,1837.0,4.0,1905,-24.0,0.0,-2.0,1900-1959,3,0.0
2022-02-28,Republic Airlines,ORD,JFK,false,false,1115,1111.0,0.0,-4.0,1413.0,0.0,95.0,135.0,122.0,740.0,2022,1,2,28,1,DL,DL_CODESHARE,19790,DL,5710,YX,20452,YX,N213JQ,5710,13930,1393007,30977,"Chicago, IL",IL,17,Illinois,41,12478,1247805,31703,"New York, NY",NY,36,New York,22,0.0,-1.0,1100-1159,15.0,1126.0,1401.0,12.0,1430,-17.0,0.0,-2.0,1400-1459,3,0.0
2022-02-27,Envoy Air,ABE,ORD,false,false,1700,1649.0,0.0,-11.0,1755.0,0.0,107.0,158.0,126.0,654.0,2022,1,2,27,7,AA,AA_CODESHARE,19805,AA,4047,MQ,20398,MQ,N676AE,4047,10135,1013506,30135,"Allentown/Bethlehem/Easton, PA",PA,42,Pennsylvania,23,13930,1393007,30977,"Chicago, IL",IL,17,Illinois,41,0.0,-1.0,1700-1759,10.0,1659.0,1746.0,9.0,1838,-43.0,0.0,-2.0,1800-1859,3,0.0
2022-02-17,United Air Lines Inc.,SFO,PDX,false,false,1640,1643.0,3.0,3.0,1829.0,0.0,80.0,112.0,106.0,550.0,2022,1,2,17,4,UA,UA,19977,UA,2339,UA,19977,UA,N17245,2339,14771,1477104,32457,"San Francisco, CA",CA,6,California,91,14057,1405702,34057,"Portland, OR",OR,41,Oregon,92,0.0,0.0,1600-1659,22.0,1705.0,1825.0,4.0,1832,-3.0,0.0,-1.0,1800-1859,3,0.0
2022-02-14,United Air Lines Inc.,PDX,DEN,false,false,1310,1302.0,0.0,-8.0,1627.0,0.0,124.0,148.0,145.0,991.0,2022,1,2,14,1,UA,UA,19977,UA,2240,UA,19977,UA,N26232,2240,14057,1405702,34057,"Portland, OR",OR,41,Oregon,92,11292,1129202,30325,"Denver, CO",CO,8,Colorado,82,0.0,-1.0,1300-1359,12.0,1314.0,1618.0,9.0,1638,-11.0,0.0,-1.0,1600-1659,4,0.0
